id,folder,filename,originalClassification,status,primaryClass,subclass,compatibleClasses,atmosphereVisible,waterVisible,vegetationVisible,iceVisible,volcanismVisible,lightingCleanable,earthGeography,correctionReason,rejectionReason,materialCreated,systemThumbnailCreated,sha256
P01-01,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 1.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,b73b17153d4b96845d9f47832ca330bbb072fcaee66dba9a3edffd8bd997dcfc
P01-02,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 10.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,9dbf5a0e426ec45fec7a6daad29ef42fa5e86e5559d69d1f2759fa1a02bb694f
P01-03,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 11.png,Acid A — Sulfuric Cloud Planet,rejected,greenhouse,sulfuric-cloud,,True,not established,False,False,False,False,False,,Strong baked luminous rim and directional glare.,False,False,0f3e8652c5655d4966c74a5dfc83ee4f4a8beacf078b6e163ce757391a1d3ab0
P01-04,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 12.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,c783ce779c22886dff1e511cbcf54a6badee1cded173d598e128caf3765fe0e0
P01-05,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 13.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,3cbc9a3e871772ea0a2568d58efd9430178ad149e7187359d75f10a24128ebc3
P01-06,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 14.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,126371d86c9fa6a45cd8064e7d2211107b2ed40c1730716358c34006ba8f6e5f
P01-07,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 15.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,894fd1827034daf0cc4c3e45e70bd02c5d1a151b1e6a5f25674ab71842312795
P01-08,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 16.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,6211892c33d89638a93176bf3c2703991a0afff54449b3dbcc0b6ae042ddef5d
P01-09,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 17.png,Acid A — Sulfuric Cloud Planet,accepted,greenhouse,sulfuric-cloud,,True,False,False,False,False,True,False,,,True,True,33f6da1b623d9db4bb94806b9a2a2c2ba981f4c50f250bfda15939db0ab0eb54
P01-10,Acid A — Sulfuric Cloud Planet,Acid A — Sulfuric Cloud Planet 18.png,Acid A — Sulfuric Cloud Planet,rejected,greenhouse,sulfuric-cloud,,True,not established,False,False,False,not prepared (source excluded),False,,Localized hard specular hotspot conflicts with dynamic illumination.,False,False,a05e82c6d1e477db1dfb335e43a860fbc6c06f5465711ce16840dd2b47f43092
